geoid_5_digit,total_restrictions,municipal_level_restrictions,county_level_restrictions,battery_storage,solar,transmission_line,wind,GEO_ID.x,NAME.x,median_income,GEO_ID.y,NAME.y,population,B01003_001M,...5,USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,county_name,state_name,state_geography_id,geography_id,utility_pv,land_based_wind,csp,residential_pv,commercial_pv,distributed_wind,density,solar_normalized,wind_normalized,solar_and_wind_normalized
17021,1,0,1,0,0,0,1,0500000US17021,"Christian County, Illinois",56933,0500000US17021,"Christian County, Illinois",33893,*****,NA,IL,17021,424212,Christian County,1837552894,16227346,709.483,6.265,39.545524,-89.279593,Christian,Illinois,G17,G1700210,91830573.58,8458827.92,0,109715.25,85246.78,12274492.2,47.771405375463544,0,1.1821968828986417e-7,1.1821968828986417e-7
17037,1,0,1,0,0,0,1,0500000US17037,"DeKalb County, Illinois",68617,0500000US17037,"DeKalb County, Illinois",100686,*****,NA,IL,17037,422190,DeKalb County,1635155501,8560431,631.337,3.305,41.894612,-88.768991,DeKalb,Illinois,G17,G1700370,77280668.8,7248553.11,0,188855.26,477470.99,13477933.16,159.48059435768852,0,1.379585670166939e-7,1.379585670166939e-7
17053,1,0,1,0,0,0,1,0500000US17053,"Ford County, Illinois",58930,0500000US17053,"Ford County, Illinois",13484,*****,NA,IL,17053,424228,Ford County,1257690130,1640595,485.597,0.633,40.596539,-88.224588,Ford,Illinois,G17,G1700530,64328804.44,5824426.32,0,44425.05,41204.51,7615752.94,27.76788159729158,0,1.7169072884760948e-7,1.7169072884760948e-7
17103,1,0,1,0,1,0,0,0500000US17103,"Lee County, Illinois",64588,0500000US17103,"Lee County, Illinois",34221,*****,NA,IL,17103,424253,Lee County,1877142077,9779872,724.769,3.776,41.747447,-89.299362,Lee,Illinois,G17,G1701030,89167850.64,11466930.57,0,92606.55,270419.28,13987263.56,47.21642343974425,1.1214804358549917e-8,0,1.1214804358549917e-8
17133,1,0,1,0,1,0,0,0500000US17133,"Monroe County, Illinois",100685,0500000US17133,"Monroe County, Illinois",34905,*****,NA,IL,17133,1784865,Monroe County,997924027,33755286,385.301,13.033,38.277983,-90.179078,Monroe,Illinois,G17,G1701330,39137989.8,2638712.37,0,110808.1,61175.8,5623380.65,90.5915115714727,2.5550622428748246e-8,0,2.5550622428748246e-8
17147,1,0,1,0,0,0,1,0500000US17147,"Piatt County, Illinois",81151,0500000US17147,"Piatt County, Illinois",16698,*****,NA,IL,17147,424275,Piatt County,1137492089,754122,439.188,0.291,40.009033,-88.592355,Piatt,Illinois,G17,G1701470,56989941.47,4410112.28,0,57095.3,29737.45,6400814.02,38.020164485368454,0,2.2675159644688228e-7,2.2675159644688228e-7
17179,1,0,1,0,0,0,1,0500000US17179,"Tazewell County, Illinois",74606,0500000US17179,"Tazewell County, Illinois",131276,*****,NA,IL,17179,1785094,Tazewell County,1674346575,29712323,646.469,11.472,40.508074,-89.51626,Tazewell,Illinois,G17,G1701790,72905945.97,6064879.04,0,398672.29,111896.43,12673440.58,203.0661949760932,0,1.648837500970176e-7,1.648837500970176e-7
18003,1,0,1,0,0,0,1,0500000US18003,"Allen County, Indiana",66222,0500000US18003,"Allen County, Indiana",385456,*****,NA,IN,18003,450402,Allen County,1702000549,7347952,657.146,2.837,41.091909,-85.071791,Allen,Indiana,G18,G1800030,62109488.09,2337440.39,0,760635.47,927460.59,15736639.64,586.5606729706946,0,4.278183966864712e-7,4.278183966864712e-7
18011,1,0,1,0,0,0,1,0500000US18011,"Boone County, Indiana",103038,0500000US18011,"Boone County, Indiana",71235,*****,NA,IN,18011,450405,Boone County,1095260018,876741,422.882,0.339,40.050892,-86.469014,Boone,Indiana,G18,G1800110,52105920.23,3431229.41,0,161081.72,77502.63,10964670.55,168.4512464469994,0,2.91440728820286e-7,2.91440728820286e-7
18023,1,0,1,0,0,0,1,0500000US18023,"Clinton County, Indiana",59515,0500000US18023,"Clinton County, Indiana",33020,*****,NA,IN,18023,450342,Clinton County,1049119187,461117,405.067,0.178,40.305944,-86.477567,Clinton,Indiana,G18,G1800230,51101006.02,3448873.47,0,89181.27,191164.12,9070133,81.51737860650213,0,2.8994974988166205e-7,2.8994974988166205e-7
18035,1,0,1,0,1,0,0,0500000US18035,"Delaware County, Indiana",53377,0500000US18035,"Delaware County, Indiana",112156,*****,NA,IN,18035,450347,Delaware County,1015558818,9841207,392.109,3.8,40.227543,-85.399262,Delaware,Indiana,G18,G1800350,44268870.51,2688346.75,0,237645.09,302985.08,10428796.53,286.0327102922912,2.2589236826679543e-8,0,2.2589236826679543e-8
18049,1,0,1,0,0,0,1,0500000US18049,"Fulton County, Indiana",62644,0500000US18049,"Fulton County, Indiana",20420,*****,NA,IN,18049,450353,Fulton County,954133332,7439345,368.393,2.872,41.050384,-86.265006,Fulton,Indiana,G18,G1800490,42981995.3,2224939.21,0,53398.24,88315.71,7751180.84,55.42993487932724,0,4.4945048184035556e-7,4.4945048184035556e-7
18057,1,0,1,0,1,0,0,0500000US18057,"Hamilton County, Indiana",114866,0500000US18057,"Hamilton County, Indiana",349527,*****,NA,IN,18057,450356,Hamilton County,1021459909,20924258,394.388,8.079,40.053513,-86.021709,Hamilton,Indiana,G18,G1800570,33614741.19,1545850.86,0,880762.66,723818.34,10088607.28,886.2516100895565,2.9748853169736396e-8,0,2.9748853169736396e-8
18065,1,0,1,0,0,0,1,0500000US18065,"Henry County, Indiana",57632,0500000US18065,"Henry County, Indiana",48913,*****,NA,IN,18065,450359,Henry County,1014957930,7652084,391.877,2.954,39.929591,-85.397363,Henry,Indiana,G18,G1800650,46179377.68,2772974.08,0,131319.77,99368.95,10085211.86,124.81722581320159,0,3.606236377081462e-7,3.606236377081462e-7
18067,1,0,1,0,0,0,1,0500000US18067,"Howard County, Indiana",62014,0500000US18067,"Howard County, Indiana",83452,*****,NA,IN,18067,450360,Howard County,759058623,2194576,293.074,0.847,40.483537,-86.114118,Howard,Indiana,G18,G1800670,33306259.44,1580513.82,0,210935.37,226963.38,8006546.77,284.74719695367037,0,6.327056349307973e-7,6.327056349307973e-7
18073,1,0,1,0,0,0,1,0500000US18073,"Jasper County, Indiana",77777,0500000US18073,"Jasper County, Indiana",33045,*****,NA,IN,18073,450494,Jasper County,1449563753,4428654,559.68,1.71,41.017688,-87.118814,Jasper,Indiana,G18,G1800730,70063027.91,5547697.1,0,84588.78,111157.31,9250325.03,59.04266723842196,0,1.8025497462721965e-7,1.8025497462721965e-7
18085,1,0,1,0,1,0,0,0500000US18085,"Kosciusko County, Indiana",70945,0500000US18085,"Kosciusko County, Indiana",80442,*****,NA,IN,18085,450367,Kosciusko County,1376439341,59432000,531.446,22.947,41.244293,-85.861575,Kosciusko,Indiana,G18,G1800850,58640089.61,2710128.35,0,194796.14,278649.32,11674297.45,151.3643907377231,1.7053179943119804e-8,0,1.7053179943119804e-8
18089,1,0,1,0,1,0,0,0500000US18089,"Lake County, Indiana",66375,0500000US18089,"Lake County, Indiana",497682,*****,NA,IN,18089,450495,Lake County,1292117897,330842544,498.89,127.739,41.472247,-87.374337,Lake,Indiana,G18,G1800890,32026899.03,2023468.42,0,1073821.84,1167265.17,11680323.7,997.5786245464932,3.122375347870199e-8,0,3.122375347870199e-8
18095,1,0,1,0,1,0,0,0500000US18095,"Madison County, Indiana",60060,0500000US18095,"Madison County, Indiana",130545,*****,NA,IN,18095,450370,Madison County,1170470094,2546828,451.921,0.983,40.166203,-85.722454,Madison,Indiana,G18,G1800950,52335409.29,3349178.37,0,319502.69,462810.98,11081817.81,288.8668594732265,1.9107522298312766e-8,0,1.9107522298312766e-8
18099,1,0,1,0,0,0,1,0500000US18099,"Marshall County, Indiana",66016,0500000US18099,"Marshall County, Indiana",46208,*****,NA,IN,18099,450372,Marshall County,1148964732,15863826,443.618,6.125,41.325003,-86.269036,Marshall,Indiana,G18,G1800990,49060332.93,1604331.6,0,119268.84,186923.86,10061952.33,104.16168866006339,0,6.233125371338443e-7,6.233125371338443e-7
18103,1,0,1,0,0,0,1,0500000US18103,"Miami County, Indiana",59551,0500000US18103,"Miami County, Indiana",35952,*****,NA,IN,18103,450373,Miami County,968246955,9184623,373.842,3.546,40.772883,-86.044258,Miami,Indiana,G18,G1801030,41244968.39,2713152.53,0,86896.38,80566.09,7740202.94,96.16896977867655,0,3.6857492859054264e-7,3.6857492859054264e-7
18107,1,0,1,0,0,0,1,0500000US18107,"Montgomery County, Indiana",62937,0500000US18107,"Montgomery County, Indiana",38018,*****,NA,IN,18107,450374,Montgomery County,1307042310,2055936,504.652,0.794,40.040296,-86.892715,Montgomery,Indiana,G18,G1801070,60033421.43,5122611.67,0,95523.96,113988.11,10268541.36,75.3350823934117,0,1.9521292348908424e-7,1.9521292348908424e-7
18113,1,0,1,0,0,0,1,0500000US18113,"Noble County, Indiana",70286,0500000US18113,"Noble County, Indiana",47431,*****,NA,IN,18113,450377,Noble County,1064077378,17068591,410.843,6.59,41.404679,-85.417271,Noble,Indiana,G18,G1801130,41548928.65,1382968.06,0,131622.12,67663.7,9610583.67,115.44799351577123,0,7.230824983767159e-7,7.230824983767159e-7
18129,1,0,1,0,1,0,0,0500000US18129,"Posey County, Indiana",75594,0500000US18129,"Posey County, Indiana",25226,*****,NA,IN,18129,450383,Posey County,1060302168,26505383,409.385,10.234,38.027614,-87.868653,Posey,Indiana,G18,G1801290,45821086.81,1912059.12,0,85730.72,167783.24,6398707.79,61.619258155525976,2.1824013126239506e-8,0,2.1824013126239506e-8
18131,1,0,1,0,0,0,1,0500000US18131,"Pulaski County, Indiana",56823,0500000US18131,"Pulaski County, Indiana",12498,*****,NA,IN,18131,446852,Pulaski County,1123220666,2216959,433.678,0.856,41.045272,-86.692538,Pulaski,Indiana,G18,G1801310,52293933.22,4183370.45,0,35286.39,50652.46,8684106.67,28.818616577276227,0,2.3904170380129734e-7,2.3904170380129734e-7
18139,1,0,1,0,0,0,0,0500000US18139,"Rush County, Indiana",62386,0500000US18139,"Rush County, Indiana",16716,*****,NA,IN,18139,446854,Rush County,1057069253,838340,408.137,0.324,39.622365,-85.466536,Rush,Indiana,G18,G1801390,51560392.43,4282601.75,0,49037.4,76671.35,8129348.83,40.95683557236908,0,0,0
18147,1,0,1,0,1,0,0,0500000US18147,"Spencer County, Indiana",66168,0500000US18147,"Spencer County, Indiana",19935,*****,NA,IN,18147,450388,Spencer County,1027934787,11968675,396.888,4.621,38.009697,-87.010375,Spencer,Indiana,G18,G1801470,36352057.21,2028008.71,0,60231.8,125471.88,6716077.56,50.22827598718027,2.7508759524204105e-8,0,2.7508759524204105e-8
18157,1,0,1,0,0,0,1,0500000US18157,"Tippecanoe County, Indiana",55728,0500000US18157,"Tippecanoe County, Indiana",186955,*****,NA,IN,18157,450393,Tippecanoe County,1292138877,11255447,498.898,4.346,40.389133,-86.893554,Tippecanoe,Indiana,G18,G1801570,54407179.7,892519.91,0,302964.75,302540.52,9206864.48,374.73591796319084,0,1.1204231847332122e-6,1.1204231847332122e-6
18159,1,0,1,0,0,0,1,0500000US18159,"Tipton County, Indiana",71947,0500000US18159,"Tipton County, Indiana",15328,*****,NA,IN,18159,450394,Tipton County,674797600,68028,260.541,0.026,40.310229,-86.056207,Tipton,Indiana,G18,G1801590,33500275.69,1381981.02,0,47942.62,99522.39,6231710.39,58.83143152133445,0,7.235989391518561e-7,7.235989391518561e-7
18165,1,0,1,0,0,0,1,0500000US18165,"Vermillion County, Indiana",59567,0500000US18165,"Vermillion County, Indiana",15488,*****,NA,IN,18165,450397,Vermillion County,665353010,7817397,256.894,3.018,39.854045,-87.462071,Vermillion,Indiana,G18,G1801650,27942237.51,2579174.9,0,48064.33,74011.92,4424164,60.28945790870943,0,3.8772089477142477e-7,3.8772089477142477e-7
18169,1,0,1,0,0,0,1,0500000US18169,"Wabash County, Indiana",66194,0500000US18169,"Wabash County, Indiana",31032,*****,NA,IN,18169,450399,Wabash County,1068471084,21851089,412.539,8.437,40.843747,-85.795192,Wabash,Indiana,G18,G1801690,45418840.1,3467321.29,0,88618.41,123624.91,8312797.18,75.22197901289333,0,2.884070774992992e-7,2.884070774992992e-7
18177,1,0,1,0,1,0,0,0500000US18177,"Wayne County, Indiana",54854,0500000US18177,"Wayne County, Indiana",66522,*****,NA,IN,18177,450336,Wayne County,1040539369,6701882,401.755,2.588,39.863091,-85.006735,Wayne,Indiana,G18,G1801770,44012625.39,2353124.22,0,172564.51,205869.91,8546479.73,165.578524224963,2.2720753218852686e-8,0,2.2720753218852686e-8
18179,1,0,1,0,0,0,1,0500000US18179,"Wells County, Indiana",68074,0500000US18179,"Wells County, Indiana",28167,*****,NA,IN,18179,450337,Wells County,953341278,5596377,368.087,2.161,40.735547,-85.213349,Wells,Indiana,G18,G1801790,44608973.2,3030637.01,0,78519.25,94925.84,7270883.66,76.52266991227617,0,3.2996363361905887e-7,3.2996363361905887e-7
18183,1,0,1,0,0,0,0,0500000US18183,"Whitley County, Indiana",73636,0500000US18183,"Whitley County, Indiana",34259,*****,NA,IN,18183,450369,Whitley County,869256022,6074674,335.622,2.345,41.136426,-85.501892,Whitley,Indiana,G18,G1801830,36715697.18,2071441.75,0,94929.15,183035.91,7068784.55,102.07614518714506,0,0,0
19001,1,0,1,0,0,0,1,0500000US19001,"Adair County, Iowa",63172,0500000US19001,"Adair County, Iowa",7479,*****,NA,IA,19001,465190,Adair County,1474404192,2597996,569.271,1.003,41.328528,-94.478164,Adair,Iowa,G19,G1900010,41428021.12,6501572.15,0,25364.01,26945.57,9894134.45,13.137855256986567,0,1.5380895219320145e-7,1.5380895219320145e-7
19023,1,0,1,0,0,0,1,0500000US19023,"Butler County, Iowa",65743,0500000US19023,"Butler County, Iowa",14376,*****,NA,IA,19023,465201,Butler County,1502550827,4194983,580.138,1.62,42.734757,-92.780153,Butler,Iowa,G19,G1900230,66225971.89,6576450.79,0,50165.22,61690.46,11247089.75,24.780310891546492,0,1.5205770284491097e-7,1.5205770284491097e-7
19033,1,0,1,0,1,0,0,0500000US19033,"Cerro Gordo County, Iowa",63149,0500000US19033,"Cerro Gordo County, Iowa",42979,*****,NA,IA,19033,465206,Cerro Gordo County,1471896012,17653603,568.302,6.816,43.074975,-93.250965,Cerro Gordo,Iowa,G19,G1900330,69490208,5601661.07,0,115397.96,101726.06,12050752.98,75.62704336778684,1.4390516718556951e-8,0,1.4390516718556951e-8
19049,1,0,1,0,0,0,1,0500000US19049,"Dallas County, Iowa",99533,0500000US19049,"Dallas County, Iowa",100367,*****,NA,IA,19049,465213,Dallas County,1523509016,8742498,588.23,3.375,41.68532,-94.040706,Dallas,Iowa,G19,G1900490,61492041.99,5659057.5,0,169375.78,169128.91,12218710.1,170.62543562892066,0,1.7670787052437618e-7,1.7670787052437618e-7
19073,1,0,1,0,1,0,0,0500000US19073,"Greene County, Iowa",56884,0500000US19073,"Greene County, Iowa",8801,*****,NA,IA,19073,465225,Greene County,1475148025,4404193,569.558,1.7,42.042513,-94.388727,Greene,Iowa,G19,G1900730,70919566.46,7562571.4,0,30016.89,44511.36,9276182.63,15.45233321277201,1.4100481008496004e-8,0,1.4100481008496004e-8
19075,1,0,1,0,0,0,1,0500000US19075,"Grundy County, Iowa",80701,0500000US19075,"Grundy County, Iowa",12351,*****,NA,IA,19075,465226,Grundy County,1299799697,92512,501.855,0.036,42.403339,-92.790244,Grundy,Iowa,G19,G1900750,61880510.69,5716614.6,0,39826.01,49000.66,9934391.64,24.610694324057746,0,1.7492870693084681e-7,1.7492870693084681e-7
19083,1,0,1,0,0,0,1,0500000US19083,"Hardin County, Iowa",64656,0500000US19083,"Hardin County, Iowa",16861,*****,NA,IA,19083,465230,Hardin County,1474498037,1783759,569.307,0.689,42.390208,-93.241669,Hardin,Iowa,G19,G1900830,66896581.6,5423493.17,0,52363.57,76908.55,10818582.35,29.616709437965806,0,1.8438301084833854e-7,1.8438301084833854e-7
19103,1,0,1,0,1,0,0,0500000US19103,"Johnson County, Iowa",72977,0500000US19103,"Johnson County, Iowa",153360,*****,NA,IA,19103,465240,Johnson County,1587655791,26070847,612.997,10.066,41.670668,-91.590529,Johnson,Iowa,G19,G1901030,55064530.08,3915742.08,0,209661.92,195354.91,11080459.37,250.180669725953,1.8160510923223338e-8,0,1.8160510923223338e-8
19113,1,0,1,0,1,0,0,0500000US19113,"Linn County, Iowa",75457,0500000US19113,"Linn County, Iowa",229308,*****,NA,IA,19113,465245,Linn County,1857054769,19828878,717.013,7.656,42.077951,-91.597674,Linn,Iowa,G19,G1901130,67025958.82,4405859.65,0,511009.79,344414.33,16038411.15,319.8101010720865,1.4919592611655534e-8,0,1.4919592611655534e-8
19121,1,0,1,0,1,0,0,0500000US19121,"Madison County, Iowa",88110,0500000US19121,"Madison County, Iowa",16609,*****,NA,IA,19121,465249,Madison County,1452999049,2983840,561.006,1.152,41.330622,-94.015184,Madison,Iowa,G19,G1901210,42850628.87,5160945.97,0,48094.6,43490.93,11422074.3,29.605743967087697,2.333688037657031e-8,0,2.333688037657031e-8
19137,1,0,1,0,0,0,1,0500000US19137,"Montgomery County, Iowa",61261,0500000US19137,"Montgomery County, Iowa",10285,*****,NA,IA,19137,465257,Montgomery County,1098405766,2410446,424.097,0.931,41.021735,-95.15779,Montgomery,Iowa,G19,G1901370,33566546.75,5886541.94,0,32670.72,50883.34,7560570.27,24.25152736284388,0,1.6987902408455447e-7,1.6987902408455447e-7
19145,1,0,1,0,0,0,1,0500000US19145,"Page County, Iowa",58264,0500000US19145,"Page County, Iowa",15225,*****,NA,IA,19145,465261,Page County,1385497642,1359014,534.944,0.525,40.739097,-95.144301,Page,Iowa,G19,G1901450,47191547.47,5258782.3,0,48333.36,74557.36,10359985.4,28.460923012502246,0,1.9015809040050964e-7,1.9015809040050964e-7
19147,1,0,1,0,0,0,1,0500000US19147,"Palo Alto County, Iowa",67306,0500000US19147,"Palo Alto County, Iowa",8938,*****,NA,IA,19147,465262,Palo Alto County,1460400552,14428727,563.864,5.571,43.075337,-94.669055,Palo Alto,Iowa,G19,G1901470,72224025.37,3314357.61,0,29751.43,43174.66,8351849.94,15.851340039442134,0,3.017175928701309e-7,3.017175928701309e-7
19155,1,1,0,0,0,0,1,0500000US19155,"Pottawattamie County, Iowa",68718,0500000US19155,"Pottawattamie County, Iowa",93543,*****,NA,IA,19155,465266,Pottawattamie County,2463787905,20381963,951.274,7.87,41.340184,-95.544905,Pottawattamie,Iowa,G19,G1901550,60868598.02,10089528.56,0,198666.29,271348.8,18924433.6,98.33444412440579,0,9.911265863942407e-8,9.911265863942407e-8
19167,1,0,1,0,1,0,0,0500000US19167,"Sioux County, Iowa",81914,0500000US19167,"Sioux County, Iowa",35815,*****,NA,IA,19167,465272,Sioux County,1988881470,2802041,767.911,1.082,43.082618,-96.17798,Sioux,Iowa,G19,G1901670,92352126.75,6511987.82,0,85030.88,183896.12,17044295.43,46.63951942347486,1.0828120966905615e-8,0,1.0828120966905615e-8
19175,1,0,1,0,0,0,1,0500000US19175,"Union County, Iowa",56495,0500000US19175,"Union County, Iowa",12107,*****,NA,IA,19175,465276,Union County,1097235795,5575854,423.645,2.153,41.02855,-94.245091,Union,Iowa,G19,G1901750,35670446,8109361.86,0,35391.84,35020.08,8105732.73,28.57817276257244,0,1.2331426532247507e-7,1.2331426532247507e-7
19193,1,0,1,0,1,0,0,0500000US19193,"Woodbury County, Iowa",68399,0500000US19193,"Woodbury County, Iowa",105526,*****,NA,IA,19193,465285,Woodbury County,2260790940,12793662,872.896,4.94,42.39322,-96.053296,Woodbury,Iowa,G19,G1901930,59029128.33,8761132.62,64117.05,219428.39,229116.45,17150633.57,120.89183591172375,1.6940788866295632e-8,0,1.6940788866295632e-8
